State,Date,Hourly Demand Met (in MW),
Uttar Pradesh - 2024,14-Jan 6pm,20247.97,
Uttar Pradesh - 2024,14-Jan 7pm,20779.66,
Uttar Pradesh - 2024,14-Jan 8pm,19962.34,
Uttar Pradesh - 2024,14-Jan 9pm,18341.34,
Uttar Pradesh - 2024,14-Jan 10pm,16140.9,
Uttar Pradesh - 2024,14-Jan 11pm,14157.94,
Uttar Pradesh - 2024,15-Jan 12am,12608.83,
Uttar Pradesh - 2024,15-Jan 1am,11802.42,
Uttar Pradesh - 2024,15-Jan 2am,11292.85,
Uttar Pradesh - 2024,15-Jan 3am,10981.19,
Uttar Pradesh - 2024,15-Jan 4am,11738.49,
Uttar Pradesh - 2024,15-Jan 5am,12548.27,
Uttar Pradesh - 2024,15-Jan 6am,12541.47,
Uttar Pradesh - 2024,15-Jan 7am,13281.12,
Uttar Pradesh - 2024,15-Jan 8am,14943.64,
Uttar Pradesh - 2024,15-Jan 9am,15858.99,
Uttar Pradesh - 2024,15-Jan 10am,17153.23,
Uttar Pradesh - 2024,15-Jan 11am,17596.76,
Uttar Pradesh - 2024,15-Jan 12pm,17807.78,
Uttar Pradesh - 2024,15-Jan 1pm,17953.16,
Uttar Pradesh - 2024,15-Jan 2pm,17800.74,
Uttar Pradesh - 2024,15-Jan 3pm,16563.57,
Uttar Pradesh - 2024,15-Jan 4pm,15654.64,
Uttar Pradesh - 2024,15-Jan 5pm,16984.37,
Uttar Pradesh - 2024,15-Jan 6pm,19661.34,
Uttar Pradesh - 2024,15-Jan 7pm,20372.98,
Uttar Pradesh - 2024,15-Jan 8pm,20600.8,
Uttar Pradesh - 2024,15-Jan 9pm,19016.74,
Uttar Pradesh - 2024,15-Jan 10pm,16751.95,
Uttar Pradesh - 2024,15-Jan 11pm,14625.07,
Uttar Pradesh - 2024,16-Jan 12am,13327.56,
Uttar Pradesh - 2024,16-Jan 1am,12494.14,
Uttar Pradesh - 2024,16-Jan 2am,12034.48,
Uttar Pradesh - 2024,16-Jan 3am,11856,
Uttar Pradesh - 2024,16-Jan 4am,12311.86,
Uttar Pradesh - 2024,16-Jan 5am,13000.38,
Uttar Pradesh - 2024,16-Jan 6am,12647.15,
Uttar Pradesh - 2024,16-Jan 7am,13232.42,
Uttar Pradesh - 2024,16-Jan 8am,14918.48,
Uttar Pradesh - 2024,16-Jan 9am,15574.67,
Uttar Pradesh - 2024,16-Jan 10am,16928.07,
Uttar Pradesh - 2024,16-Jan 11am,17099.45,
Uttar Pradesh - 2024,16-Jan 12pm,17298.49,
Uttar Pradesh - 2024,16-Jan 1pm,17863.03,
Uttar Pradesh - 2024,16-Jan 2pm,17613.06,
Uttar Pradesh - 2024,16-Jan 3pm,17256.49,
Uttar Pradesh - 2024,16-Jan 4pm,15803.38,
Uttar Pradesh - 2024,16-Jan 5pm,16689.33,
Uttar Pradesh - 2024,16-Jan 6pm,19523.11,
Uttar Pradesh - 2024,16-Jan 7pm,20111.53,
Uttar Pradesh - 2024,16-Jan 8pm,21006.05,
Uttar Pradesh - 2024,16-Jan 9pm,19559.3,
Uttar Pradesh - 2024,16-Jan 10pm,17456.79,
Uttar Pradesh - 2024,16-Jan 11pm,15115.06,
Uttar Pradesh - 2024,17-Jan 12am,13559.53,
Uttar Pradesh - 2024,17-Jan 1am,12613.44,
Uttar Pradesh - 2024,17-Jan 2am,12132.01,
Uttar Pradesh - 2024,17-Jan 3am,11976.52,
Uttar Pradesh - 2024,17-Jan 4am,12452.42,
Uttar Pradesh - 2024,17-Jan 5am,13672.49,
Uttar Pradesh - 2024,17-Jan 6am,14675.38,
Uttar Pradesh - 2024,17-Jan 7am,14971.89,
Uttar Pradesh - 2024,17-Jan 8am,15287.45,
Uttar Pradesh - 2024,17-Jan 9am,15848.06,
Uttar Pradesh - 2024,17-Jan 10am,16772.56,
Uttar Pradesh - 2024,17-Jan 11am,16869.1,
Uttar Pradesh - 2024,17-Jan 12pm,17015.99,
Uttar Pradesh - 2024,17-Jan 1pm,17634.94,
Uttar Pradesh - 2024,17-Jan 2pm,17805.23,
Uttar Pradesh - 2024,17-Jan 3pm,17118.76,
Uttar Pradesh - 2024,17-Jan 4pm,15839.13,
Uttar Pradesh - 2024,17-Jan 5pm,16634.27,
Uttar Pradesh - 2024,17-Jan 6pm,19042.14,
Uttar Pradesh - 2024,17-Jan 7pm,19773.18,
Uttar Pradesh - 2024,17-Jan 8pm,21021.27,
Uttar Pradesh - 2024,17-Jan 9pm,20134.19,
Uttar Pradesh - 2024,17-Jan 10pm,18001.34,
Uttar Pradesh - 2024,17-Jan 11pm,15763.89,
Uttar Pradesh - 2024,18-Jan 12am,14121.86,
Uttar Pradesh - 2024,18-Jan 1am,13183.85,
Uttar Pradesh - 2024,18-Jan 2am,12532.3,
Uttar Pradesh - 2024,18-Jan 3am,12339.85,
Uttar Pradesh - 2024,18-Jan 4am,12799.34,
Uttar Pradesh - 2024,18-Jan 5am,14127.41,
Uttar Pradesh - 2024,18-Jan 6am,15592.6,
Uttar Pradesh - 2024,18-Jan 7am,15642.61,
Uttar Pradesh - 2024,18-Jan 8am,16106.78,
Uttar Pradesh - 2024,18-Jan 9am,16530.69,
Uttar Pradesh - 2024,18-Jan 10am,17357.41,
Uttar Pradesh - 2024,18-Jan 11am,17493.71,
Uttar Pradesh - 2024,18-Jan 12pm,18400.36,
Uttar Pradesh - 2024,18-Jan 1pm,18837.48,
Uttar Pradesh - 2024,18-Jan 2pm,18596.76,
Uttar Pradesh - 2024,18-Jan 3pm,17488.08,
Uttar Pradesh - 2024,18-Jan 4pm,16540.73,
Uttar Pradesh - 2024,18-Jan 5pm,17414.21,
Uttar Pradesh - 2024,18-Jan 6pm,19405,
Uttar Pradesh - 2024,18-Jan 7pm,20218.42,
Uttar Pradesh - 2024,18-Jan 8pm,21056.71,
Uttar Pradesh - 2024,18-Jan 9pm,19628.17,
Uttar Pradesh - 2024,18-Jan 10pm,17356.64,
Uttar Pradesh - 2024,18-Jan 11pm,15150.09,
Uttar Pradesh - 2024,19-Jan 12am,13545.26,
Uttar Pradesh - 2024,19-Jan 1am,12582.32,
Uttar Pradesh - 2024,19-Jan 2am,12113.84,
Uttar Pradesh - 2024,19-Jan 3am,11871.86,
Uttar Pradesh - 2024,19-Jan 4am,12619.8,
Uttar Pradesh - 2024,19-Jan 5am,13889.43,
Uttar Pradesh - 2024,19-Jan 6am,15298.68,
Uttar Pradesh - 2024,19-Jan 7am,16722.82,
Uttar Pradesh - 2024,19-Jan 8am,17469.27,
Uttar Pradesh - 2024,19-Jan 9am,17355.58,
Uttar Pradesh - 2024,19-Jan 10am,18554.34,
Uttar Pradesh - 2024,19-Jan 11am,18763.87,
Uttar Pradesh - 2024,19-Jan 12pm,19176.43,
Uttar Pradesh - 2024,19-Jan 1pm,19489.08,
Uttar Pradesh - 2024,19-Jan 2pm,18894.09,
Uttar Pradesh - 2024,19-Jan 3pm,17934.16,
Uttar Pradesh - 2024,19-Jan 4pm,16527.8,
Uttar Pradesh - 2024,19-Jan 5pm,17753.79,
Uttar Pradesh - 2024,19-Jan 6pm,19429.16,
Uttar Pradesh - 2024,19-Jan 7pm,20176,
Uttar Pradesh - 2024,19-Jan 8pm,21140.69,
Uttar Pradesh - 2024,19-Jan 9pm,20037.24,
Uttar Pradesh - 2024,19-Jan 10pm,17912.92,
Uttar Pradesh - 2024,19-Jan 11pm,15784.64,
Uttar Pradesh - 2024,20-Jan 12am,14187.28,
Uttar Pradesh - 2024,20-Jan 1am,13165.53,
Uttar Pradesh - 2024,20-Jan 2am,12756.65,
Uttar Pradesh - 2024,20-Jan 3am,12623.26,
Uttar Pradesh - 2024,20-Jan 4am,13086.47,
Uttar Pradesh - 2024,20-Jan 5am,14437.91,
Uttar Pradesh - 2024,20-Jan 6am,15835.1,
Uttar Pradesh - 2024,20-Jan 7am,17259.46,
Uttar Pradesh - 2024,20-Jan 8am,18226.53,
Uttar Pradesh - 2024,20-Jan 9am,18031.05,
Uttar Pradesh - 2024,20-Jan 10am,19017.18,
Uttar Pradesh - 2024,20-Jan 11am,19227.87,
Uttar Pradesh - 2024,20-Jan 12pm,18990.82,
Uttar Pradesh - 2024,20-Jan 1pm,19183.95,
Uttar Pradesh - 2024,20-Jan 2pm,18371.85,
